;containerID;SH;Category;Weight;Filling start;Alt filling start;Filling end;Loading;Leaving;Plate;Arrival;Unload;trip_id
0;647;sh1;Sekatuote siipikarja luokka 3;10980kg;2022-10-31T20:05:00Z;;2022-10-28T14:43:00Z;2022-10-25T07:05:00Z;2022-10-25T06:57:00Z;truck6;2022-11-01T09:10:00Z;2022-11-01T09:16:00Z;0.0
1;602;sh1;Sekatuote siipikarja luokka 3;12380kg;2022-10-25T17:31:00Z;;2022-10-25T19:30:00Z;2022-10-26T08:43:00Z;2022-10-26T08:38:00Z;truck3;2022-11-01T13:27:00Z;2022-11-01T14:10:00Z;1.0
2;621;sh2;Sekatuote siipikarja luokka 3;14460kg;2022-10-31T08:13:00Z;;2022-10-31T12:28:00Z;2022-10-31T17:55:00Z;2022-10-31T18:00:00Z;truck5;2022-10-31T14:24:00Z;2022-10-31T18:29:00Z;2.0
3;661;sh2;Sekatuote siipikarja luokka 3;17460kg;2022-10-31T10:09:00Z;;2022-10-31T18:01:00Z;2022-10-31T17:56:00Z;2022-10-31T18:00:00Z;truck5;2022-10-31T14:24:00Z;2022-10-31T18:29:00Z;3.0
4;656;sh2;Sekatuote siipikarja luokka 3;14140kg;2022-10-31T16:58:00Z;;2022-10-31T21:14:00Z;2022-10-31T23:31:00Z;2022-10-31T23:38:00Z;truck5;2022-10-31T19:43:00Z;2022-10-31T23:35:00Z;4.0
5;641;sh2;Varpaat, Siipikarja, Luokka 3;11600kg;2022-10-31T04:18:00Z;;2022-10-31T18:46:00Z;2022-10-31T23:23:00Z;2022-10-31T23:38:00Z;truck6;2022-11-01T01:22:00Z;2022-11-01T01:22:00Z;5.0
6;651;sh2;Sekatuote siipikarja luokka 3;13940kg;2022-10-21T10:01:00Z;;2022-10-27T06:49:00Z;2022-10-31T23:24:00Z;2022-10-31T23:38:00Z;truck6;2022-11-01T01:22:00Z;2022-11-01T01:46:00Z;5.0
7;633;sh2;Sekatuote siipikarja luokka 3;14260kg;2022-10-31T19:07:00Z;;2022-11-01T06:32:00Z;2022-11-01T12:44:00Z;2022-11-01T13:00:00Z;truck6;2022-11-01T14:45:00Z;2022-11-01T14:54:00Z;6.0
8;655;sh2;Sekatuote siipikarja luokka 3;15000kg;2022-11-01T06:15:00Z;;2022-11-01T09:37:00Z;2022-11-01T12:45:00Z;2022-11-01T13:00:00Z;truck6;2022-11-01T14:45:00Z;2022-11-01T14:55:00Z;6.0
9;623;sh2;Sekatuote siipikarja luokka 3;14480kg;2022-11-01T06:32:00Z;;2022-11-01T11:32:00Z;2022-11-01T14:45:00Z;2022-11-01T14:50:00Z;truck5;2022-11-01T12:21:00Z;2022-11-01T14:40:00Z;7.0
10;663;sh2;Sekatuote siipikarja luokka 3;15520kg;2022-11-01T09:37:00Z;;2022-11-01T13:36:00Z;2022-11-01T14:46:00Z;2022-11-01T14:50:00Z;truck5;2022-11-01T12:21:00Z;2022-11-01T14:54:00Z;8.0
11;651;sh2;Sekatuote siipikarja luokka 3;15120kg;2022-11-01T13:48:00Z;;2022-11-01T17:41:00Z;2022-11-01T19:36:00Z;2022-11-01T19:59:00Z;truck6;2022-11-01T21:46:00Z;2022-11-01T22:03:00Z;9.0
12;607;sh2;Varpaat, Siipikarja, Luokka 3;11700kg;2022-11-01T04:06:00Z;;2022-11-01T19:41:00Z;2022-11-01T19:59:00Z;2022-11-01T20:51:00Z;truck5;2022-11-01T16:35:00Z;2022-11-01T21:12:00Z;10.0
13;617;sh2;Sekatuote siipikarja luokka 3;13480kg;2022-11-01T15:57:00Z;;2022-11-01T19:34:00Z;2022-11-01T20:00:00Z;2022-11-01T20:51:00Z;truck5;2022-11-01T16:35:00Z;2022-11-01T21:12:00Z;11.0
14;613;sh2;Sekatuote siipikarja luokka 3;13360kg;2022-11-01T20:02:00Z;;2022-11-01T23:18:00Z;2022-11-02T00:31:00Z;2022-11-02T00:53:00Z;truck6;2022-11-02T03:25:00Z;2022-11-02T03:35:00Z;12.0
15;652;sh1;Sekatuote siipikarja luokka 3;13680kg;2022-11-02T07:20:00Z;;2022-11-02T09:30:00Z;2022-11-02T11:15:00Z;2022-11-02T11:45:00Z;truck4;2022-11-02T13:34:00Z;2022-11-02T14:05:00Z;13.0
16;628;sh1;Sekatuote siipikarja luokka 3;12800kg;2022-11-02T09:34:00Z;;2022-11-02T11:18:00Z;2022-11-02T11:22:00Z;2022-11-02T11:45:00Z;truck4;2022-11-02T14:13:00Z;2022-11-02T14:45:00Z;13.0
